search;found_place;address;latitude;longitude;facility_label;Notes
TPAS Kubangdeleg Cirebon;TPAS Kubangdeleg;4M55+P3X, Kubangdeleg, Kec. Karangwareng, Kabupaten Cirebon, Jawa Barat;-6.8906277;108.6577259;Other;Tempat Pembuangan Sampah
TPAS Sukanyiru Sumedang;TPA Sukanyiru;24MQ+927, Sarimekar, Kec. Jatinunggal, Kabupaten Sumedang, Jawa Barat 45376;-6.9665915;108.1375463;Other;Tempat Pembuangan Sampah
TPPAS Pangandaran Purbahayu Pangandaran;TPA Purbahayu;Purbahayu, Kec. Pangandaran, Kab. Pangandaran, Jawa Barat 46396;-7.6444861;108.5689266;Other;Tempat Pembuangan Sampah
TPPAS Regional Nambo Bogor;TPPAS NAMBO, BOGOR TIMUR;GW7P+946, Nambo, Kec. Klapanunggal, Kabupaten Bogor, Jawa Barat 16710;-6.486577;106.9307661;Other;Tempat Pembuangan Sampah
TPS Kupang;TPS (Tempat Penampungan Sementara) RT 8 RW 3 Kelurahan Oesapa Barat;VJ5G+H84, Oesapa Bar., Kec. Klp. Lima, Kota Kupang, Nusa Tenggara Tim.;-10.140938;123.5534462;Other;Tempat Pembuangan Sampah
TPS Barangka Muna Barat;Lokasi TPA Muna Barat;5HF9+R2J, Bungkolo, Kec. Barangka, Kabupaten Muna, Sulawesi Tenggara 93652;-4.8350374;122.5575251;Other;Tempat Pembuangan Sampah
TPS BATUBANAWA Buton Tengah;Not Found;Not Found;-5.2822093;122.5988304;Not Found;Not Found
TPS Blang Beururu Bireuen;TPS Meunasah Baray;59RH+M56, Meunasah Bar., Kec. Simpang Mamplam, Kabupaten Bireuen, Aceh;5.1923221;96.2956521;Other;Tempat Pembuangan Sampah
TPS Cerenti Kuantan Singingi;Not Found;Not Found;Not Found;Not Found;Not Found;Not Found
TPS Hulu Kuantan Kuantan Singingi;Not Found;Not Found;-0.5810414;101.3334476;Not Found;Not Found
TPS Kuantan Hilir Seberang Kuantan Singingi;Not Found;Not Found;-0.5184435;101.7195077;Not Found;Not Found
TPS Logas Tanah Darat Kuantan Singingi;Not Found;Not Found;-0.2675867;101.6043354;Not Found;Not Found
TPS Pangean Kuantan Singingi;Not Found;Not Found;-0.4861161;101.6858;Not Found;Not Found
TPS Pucuk Rantau Kuantan Singingi;Not Found;Not Found;-0.827154;101.7945874;Not Found;Not Found
TPS Senayan Sumbawa Barat;Not Found;Not Found;Not Found;Not Found;Not Found;Not Found
TPS Singingi Kuantan Singingi;Not Found;Not Found;-0.4938175;101.4765815;Not Found;Not Found
TPS Singingi Hilir Kuantan Singingi;Not Found;Not Found;-0.1969154;101.3043849;Not Found;Not Found
TPSS Watugaigal Sumba Tengah;Not Found;Not Found;-9.5633443;119.6311514;Not Found;Not Found
TPST Padang Karet Pagar Alam;Not Found;Not Found;-4.0337158;103.2437608;Not Found;Not Found
TPST SAMPAR JAJONG Sumbawa Barat;TPST Sampar Jajong;4Q5R+VW2, Benete, Kec. Maluk, Kabupaten Sumbawa Barat, Nusa Tenggara Bar.;-8.8903733;116.792265;Other;Taman
TPST SINTAWAKA Kutai Timur;TPA Sangatta Utara;HJJ2+4XG, Jl. Ahmad Yani, Singa Gembara, Kec. Sangatta Utara, Kabupaten Kutai Timur, Kalimantan Timur 75618;0.5803101;117.3140681;Other;Tempat Pembuangan Sampah
TPST SUNGAI BATANG TANJUNG KARANG Nunukan;Not Found;Not Found;4.0673629;117.880508;Not Found;Not Found
TPST W4C Cimahi;Tempat Pengolahan Sampah Terpadu/TPST;4H63+6PV, Jl. Abdul Halim, Cigugur Tengah, Kec. Cimahi Tengah, Kota Cimahi, Jawa Barat 40522;-6.88939;107.5452878;Other;Tempat Pembuangan Sampah
UPT TPA Cipayung Cipayung Depok;TPA Cipayung;Jl. Pertanian Cipayungjaya No.50, Cipayung, Kec. Cipayung, Kota Depok, Jawa Barat 16437;-6.4225888;106.7885132;Other;Tempat Pembuangan Sampah
TPA Waikalopa Kepulauan Sula;Not Found;Not Found;-2.0480619;125.943807;Not Found;Not Found
